102,12-JUL-20,Sunday,1622,10,4-CENTRAL
103,12-JUL-20,Sunday,1649,7,4-CENTRAL
107,13-JUL-20,Monday,1348,2,4-CENTRAL
108,13-JUL-20,Monday,1430,7,8-WEST
106,13-JUL-20,Monday,1542,11,5-WEST
105,13-JUL-20,Monday,1713,5,5-CENTRAL
109,13-JUL-20,Monday,1848,2,2-WEST
110,14-JUL-20,Tuesday,1141,10,4-CENTRAL
111,14-JUL-20,Tuesday,1222,11,5-WEST
112,14-JUL-20,Tuesday,1257,4,4-CENTRAL
113,14-JUL-20,Tuesday,1445,4,5-NORTH
114,14-JUL-20,Tuesday,1445,1,9-WEST
116,14-JUL-20,Tuesday,1650,4,5-WEST
115,14-JUL-20,Tuesday,1652,6,2-CENTRAL
117,14-JUL-20,Tuesday,1700,3,4-CENTRAL
118,14-JUL-20,Tuesday,1742,1,8-WEST
119,14-JUL-20,Tuesday,1840,9,2-CENTRAL
120,15-JUL-20,Wednesday,1230,20,2-CENTRAL
122,15-JUL-20,Wednesday,1326,6,8-WEST
121,15-JUL-20,Wednesday,1609,2,5-CENTRAL
123,15-JUL-20,Wednesday,1700,6,5-CENTRAL
124,15-JUL-20,Wednesday,1847,2,5-CENTRAL
125,15-JUL-20,Wednesday,1847,2,5-CENTRAL
142,16-JUL-20,Thursday,1220,3,2-EAST
129,16-JUL-20,Thursday,1253,3,2-EAST
128,16-JUL-20,Thursday,1258,4,9-WEST
127,16-JUL-20,Thursday,1315,4,5-WEST
126,16-JUL-20,Thursday,1327,3,7-WEST
138,16-JUL-20,Thursday,1349,2,8-WEST
133,16-JUL-20,Thursday,1400,1,9-WEST
132,16-JUL-20,Thursday,1410,3,5-CENTRAL
131,16-JUL-20,Thursday,1417,1,2-EAST
130,16-JUL-20,Thursday,1437,3,5-CENTRAL
134,16-JUL-20,Thursday,1530,3,5-WEST
135,16-JUL-20,Thursday,1530,7,4-EAST
136,16-JUL-20,Thursday,1536,10,5-CENTRAL
137,16-JUL-20,Thursday,1639,5,8-WEST
139,16-JUL-20,Thursday,1641,1,5-CENTRAL
141,16-JUL-20,Thursday,1739,3,8-WEST
140,16-JUL-20,Thursday,1781,12,9-WEST
143,17-JUL-20,Friday,1223,5,5-WEST
145,17-JUL-20,Friday,1224,6,5-WEST
144,17-JUL-20,Friday,1226,3,9-WEST
146,17-JUL-20,Friday,1337,1,2-EAST
147,17-JUL-20,Friday,1354,1,2-EAST
148,17-JUL-20,Friday,1408,2,5-WEST
151,17-JUL-20,Friday,1607,5,4-CENTRAL
152,17-JUL-20,Friday,1608,4,5-WEST
153,17-JUL-20,Friday,1609,11,5-CENTRAL
150,17-JUL-20,Friday,1623,8,8-WEST
149,17-JUL-20,Friday,1634,10,4-CENTRAL
155,18-JUL-20,Saturday,1348,3,4-CENTRAL
154,18-JUL-20,Saturday,1350,5,5-WEST
171,18-JUL-20,Saturday,1350,11,5-CENTRAL
162,18-JUL-20,Saturday,1550,1,2-CENTRAL
163,18-JUL-20,Saturday,1550,3,2-CENTRAL
161,18-JUL-20,Saturday,1553,3,6-WEST
160,18-JUL-20,Saturday,1554,2,8-WEST
